Label;Area;X;Y;Perim.;BX;BY;Width;Height;Circ.;AR;Round;Solidity;Year
DH 216 A_2.jpg:0001-1112;772654.00;6171590.00;777471.00;115762.00;6155245.00;762937.00;34266.00;29371.00;0.73;1409.00;0.71;0.93;1995.00
DH 216 A_2.jpg:0002-1114;451856.00;6204197.00;779222.00;80598.00;6192308.00;767832.00;23776.00;23077.00;0.87;1153.00;0.87;0.96;1995.00
DH 216 A_2.jpg:0003-1116;435229.00;6232549.00;781366.00;80018.00;6220979.00;769930.00;24476.00;21678.00;0.85;1194.00;0.84;0.96;1995.00
DH 216 A_2.jpg:0004-1116;246956.00;6254764.00;779556.00;62726.00;6246154.00;770629.00;15385.00;20280.00;0.79;1479.00;0.68;0.95;1995.00
DH 216 A_2.jpg:0005-1119;246467.00;6272691.00;782427.00;63306.00;6266434.00;771329.00;12587.00;22378.00;0.77;1734.00;0.58;0.96;1995.00
DH 216 A_2.jpg:0006-1121;193653.00;6289751.00;784096.00;56313.00;6284615.00;772727.00;10490.00;22378.00;0.77;2044.00;0.49;0.95;1995.00
DH 216 A_2.jpg:0007-1120;53792.00;6301945.00;783433.00;39840.00;6300000.00;774126.00;4196.00;18182.00;0.43;5002.00;0.20;0.86;1995.00
DH 216 A_2.jpg:0008-1153;429850.00;6168655.00;806786.00;82336.00;6156643.00;795105.00;25175.00;23077.00;0.80;1461.00;0.68;0.95;1995.00
DH 216 A_2.jpg:0009-1153;357964.00;6192417.00;806282.00;73944.00;6181818.00;795105.00;22378.00;22378.00;0.82;1199.00;0.83;0.94;1995.00
DH 216 A_2.jpg:0010-1154;383393.00;6216805.00;806414.00;74763.00;6204895.00;796503.00;23077.00;21678.00;0.86;1307.00;0.77;0.96;1995.00
DH 216 A_2.jpg:0011-1153;237175.00;6239108.00;806230.00;59110.00;6230070.00;797902.00;16783.00;17483.00;0.85;1296.00;0.77;0.95;1995.00
DH 216 A_2.jpg:0012-1156;226906.00;6257177.00;808390.00;59519.00;6250350.00;797902.00;13287.00;20979.00;0.81;1639.00;0.61;0.95;1995.00
DH 216 A_2.jpg:0013-1159;323732.00;6278529.00;810895.00;67841.00;6268531.00;800699.00;19580.00;20280.00;0.88;1061.00;0.94;0.95;1995.00
DH 216 A_2.jpg:0014-1160;129591.00;6297835.00;811773.00;47751.00;6293706.00;802098.00;8392.00;18881.00;0.71;2284.00;0.44;0.93;1995.00
DH 216 A_2.jpg:0015-1191;551127.00;6204941.00;833087.00;89978.00;6190909.00;820979.00;27273.00;24476.00;0.86;1217.00;0.82;0.96;1995.00
DH 216 A_2.jpg:0016-1192;683652.00;6171762.00;834325.00;109079.00;6155245.00;821678.00;33566.00;24476.00;0.72;1439.00;0.70;0.92;1995.00
DH 216 A_2.jpg:0017-1192;490000.00;6234902.00;833963.00;85952.00;6222378.00;821678.00;25874.00;24476.00;0.83;1131.00;0.88;0.95;1995.00
DH 216 A_2.jpg:0018-1195;201966.00;6258227.00;836710.00;57301.00;6251049.00;826573.00;13287.00;18881.00;0.77;1426.00;0.70;0.94;1995.00
DH 216 A_2.jpg:0019-1199;193163.00;6273381.00;838556.00;60099.00;6267832.00;826573.00;11189.00;23776.00;0.67;2378.00;0.42;0.92;1995.00
DH 216 A_2.jpg:0020-1200;230818.00;6289678.00;839645.00;60508.00;6283217.00;828671.00;13287.00;20979.00;0.79;1690.00;0.59;0.94;1995.00
DH 216 A_2.jpg:0021-1200;89980.00;6303386.00;838963.00;46183.00;6300000.00;830070.00;6294.00;18881.00;0.53;3228.00;0.31;0.88;1995.00
DH 216 A_2.jpg:0022-1234;471417.00;6174374.00;863054.00;82646.00;6163636.00;850350.00;21678.00;25175.00;0.87;1104.00;0.91;0.96;1995.00
DH 216 A_2.jpg:0023-1233;383882.00;6201175.00;862403.00;77221.00;6191608.00;850350.00;19580.00;23776.00;0.81;1291.00;0.77;0.93;1995.00
DH 216 A_2.jpg:0024-1235;512005.00;6228409.00;863616.00;86842.00;6216783.00;851049.00;23776.00;25175.00;0.85;1045.00;0.96;0.96;1995.00
DH 216 A_2.jpg:0025-1237;546726.00;6258616.00;865063.00;91787.00;6246154.00;852448.00;25874.00;25874.00;0.82;1176.00;0.85;0.95;1995.00
DH 216 A_2.jpg:0027-1243;282654.00;6286740.00;868852.00;63885.00;6279021.00;858741.00;16084.00;20979.00;0.87;1296.00;0.77;0.95;1995.00
DH 216 A_2.jpg:0028-1242;155020.00;6305953.00;868976.00;49559.00;6301399.00;859441.00;9091.00;18881.00;0.79;2052.00;0.49;0.97;1995.00
DH 216 A_2.jpg:0001-0808;809331.00;6161785.00;565313.00;111226.00;6144056.00;550350.00;34266.00;29371.00;0.82;1234.00;0.81;0.95;1995.00
DH 216 A_2.jpg:0003-0813;682185.00;6198304.00;568751.00;107031.00;6181818.00;555245.00;34965.00;26573.00;0.75;1439.00;0.70;0.92;1995.00
DH 216 A_2.jpg:0004-0811;424960.00;6230702.00;567795.00;87450.00;6217483.00;555245.00;25874.00;24476.00;0.70;1567.00;0.64;0.92;1995.00
DH 216 A_2.jpg:0005-0814;483642.00;6258072.00;569278.00;89738.00;6245455.00;555944.00;24476.00;26573.00;0.76;1517.00;0.66;0.95;1995.00
DH 216 A_2.jpg:0006-0816;198543.00;6280118.00;570299.00;56143.00;6274126.00;560839.00;11888.00;19580.00;0.79;1747.00;0.57;0.95;1995.00
DH 216 A_2.jpg:0007-0817;85579.00;6293728.00;571582.00;41817.00;6290909.00;562238.00;5594.00;18182.00;0.62;3227.00;0.31;0.94;1995.00
DH 216 A_2.jpg:0008-0852;496357.00;6151730.00;596115.00;85783.00;6141259.00;581818.00;20979.00;27972.00;0.85;1301.00;0.77;0.96;1995.00
DH 216 A_2.jpg:0009-0856;502225.00;6176941.00;598948.00;86772.00;6165734.00;585315.00;23077.00;26573.00;0.84;1308.00;0.77;0.96;1995.00
DH 216 A_2.jpg:0010-0858;511027.00;6231272.00;600056.00;89978.00;6220979.00;586014.00;20979.00;28671.00;0.79;1384.00;0.72;0.96;1995.00
DH 216 A_2.jpg:0011-0857;502225.00;6204121.00;599637.00;88749.00;6191608.00;587413.00;25175.00;23776.00;0.80;1247.00;0.80;0.95;1995.00
DH 216 A_2.jpg:0012-0861;427405.00;6256989.00;602460.00;81996.00;6247552.00;588811.00;19580.00;27273.00;0.80;1401.00;0.71;0.95;1995.00
DH 216 A_2.jpg:0013-0862;282165.00;6278565.00;601965.00;67261.00;6271329.00;590210.00;13986.00;25175.00;0.78;1860.00;0.54;0.95;1995.00
DH 216 A_2.jpg:0014-0864;34232.00;6291778.00;605904.00;37862.00;6290210.00;595804.00;3497.00;17483.00;0.30;6618.00;0.15;0.75;1995.00
DH 216 A_2.jpg:0015-0896;381437.00;6155107.00;626494.00;76232.00;6146154.00;613986.00;18182.00;25874.00;0.83;1383.00;0.72;0.94;1995.00
DH 216 A_2.jpg:0016-0897;334980.00;6177881.00;627302.00;72856.00;6168531.00;616783.00;19580.00;21678.00;0.79;1085.00;0.92;0.93;1995.00
DH 216 A_2.jpg:0017-0901;603942.00;6207781.00;630283.00;94993.00;6193007.00;618881.00;30070.00;23077.00;0.84;1340.00;0.75;0.96;1995.00
DH 216 A_2.jpg:0019-0905;463592.00;6243100.00;632860.00;85952.00;6229371.00;621678.00;25874.00;22378.00;0.79;1245.00;0.80;0.93;1995.00
DH 216 A_2.jpg:0020-0906;276297.00;6268959.00;633891.00;66032.00;6260839.00;623077.00;15385.00;21678.00;0.80;1373.00;0.73;0.94;1995.00
DH 216 A_2.jpg:0021-0907;176048.00;6287420.00;634697.00;52766.00;6282517.00;624476.00;9790.00;20280.00;0.80;2011.00;0.50;0.96;1995.00
DH 216 A_2.jpg:0022-0940;538902.00;6154653.00;658138.00;99049.00;6143357.00;641958.00;22378.00;30769.00;0.69;1382.00;0.72;0.91;1995.00
DH 216 A_2.jpg:0023-0941;560908.00;6182578.00;657848.00;94514.00;6170629.00;644056.00;24476.00;27972.00;0.79;1182.00;0.85;0.94;1995.00
DH 216 A_2.jpg:0024-0948;447455.00;6209858.00;662660.00;80668.00;6199301.00;650350.00;20280.00;25175.00;0.86;1257.00;0.80;0.96;1995.00
DH 216 A_2.jpg:0025-0949;444521.00;6235077.00;663520.00;81996.00;6225175.00;650350.00;20280.00;26573.00;0.83;1266.00;0.79;0.95;1995.00
DH 216 A_2.jpg:0026-0951;386816.00;6260873.00;665793.00;80767.00;6251748.00;651748.00;18881.00;26573.00;0.75;1414.00;0.71;0.93;1995.00
DH 216 A_2.jpg:0028-0953;228862.00;6281524.00;666196.00;63475.00;6276224.00;653846.00;11189.00;25175.00;0.71;2272.00;0.44;0.94;1995.00
DH 216 A_2.jpg:0029-0955;82156.00;6295109.00;667749.00;44205.00;6292308.00;658042.00;5594.00;19580.00;0.53;3744.00;0.27;0.91;1995.00
DH 216 A_2.jpg:0001-0492;618612.00;6173115.00;343943.00;97650.00;6160140.00;329371.00;25874.00;30070.00;0.82;1174.00;0.85;0.95;1995.00
DH 216 A_2.jpg:0002-0496;508093.00;6199891.00;347211.00;93595.00;6187413.00;333566.00;23776.00;26573.00;0.73;1137.00;0.88;0.95;1995.00
DH 216 A_2.jpg:0003-0497;551127.00;6226861.00;348457.00;92027.00;6215385.00;334266.00;23776.00;27273.00;0.82;1114.00;0.90;0.95;1995.00
DH 216 A_2.jpg:0004-0498;448922.00;6253844.00;349587.00;85952.00;6242657.00;334965.00;22378.00;26573.00;0.76;1250.00;0.80;0.94;1995.00
DH 216 A_2.jpg:0005-0497;293902.00;6275874.00;347601.00;68830.00;6267832.00;335664.00;15385.00;23776.00;0.78;1661.00;0.60;0.94;1995.00
DH 216 A_2.jpg:0006-0499;190718.00;6291646.00;349285.00;58770.00;6286713.00;337762.00;9790.00;23077.00;0.69;2452.00;0.41;0.94;1995.00
DH 216 A_2.jpg:0007-0499;122255.00;6303944.00;349186.00;49390.00;6300699.00;339161.00;7692.00;20280.00;0.63;2853.00;0.35;0.94;1995.00
DH 216 A_2.jpg:0001-0233;538902.00;6203720.00;162890.00;97480.00;6190909.00;148951.00;25175.00;27972.00;0.71;1159.00;0.86;0.92;1995.00
DH 216 A_2.jpg:0002-0233;561886.00;6232035.00;164012.00;95093.00;6220280.00;148951.00;23776.00;28671.00;0.78;1172.00;0.85;0.94;1995.00
DH 216 A_2.jpg:0003-0236;814221.00;6266377.00;165448.00;110647.00;6250350.00;149650.00;32168.00;30769.00;0.84;1198.00;0.84;0.96;1995.00
DH 216 A_2.jpg:0004-0239;419091.00;6297654.00;167026.00;81756.00;6288112.00;153846.00;18881.00;26573.00;0.79;1446.00;0.69;0.94;1995.00
DH 216 A_2.jpg:0005-0241;219082.00;6318903.00;168486.00;59759.00;6313287.00;158042.00;11888.00;21678.00;0.77;1888.00;0.53;0.95;1995.00
DH 216 A_2.jpg:0001-0451;705169.00;6326723.00;316340.00;104883.00;6313986.00;298601.00;25175.00;34266.00;0.81;1377.00;0.73;0.95;1996.00
DH 216 A_2.jpg:0002-0455;570688.00;6352820.00;318907.00;94753.00;6342657.00;302098.00;20280.00;32867.00;0.80;1599.00;0.63;0.96;1996.00
DH 216 A_2.jpg:0003-0460;578023.00;6378242.00;321242.00;97141.00;6367133.00;305594.00;21678.00;32867.00;0.77;1603.00;0.62;0.95;1996.00
DH 216 A_2.jpg:0004-0461;384860.00;6400200.00;322702.00;79679.00;6393007.00;307692.00;14685.00;30070.00;0.76;2106.00;0.48;0.96;1996.00
DH 216 A_2.jpg:0005-0461;78732.00;6415252.00;322080.00;48641.00;6413287.00;311189.00;4196.00;22378.00;0.42;5277.00;0.19;0.93;1996.00
DH 216 A_2.jpg:0001-0682;922294.00;6317495.00;477486.00;120437.00;6302098.00;458741.00;30769.00;37063.00;0.80;1218.00;0.82;0.95;1996.00
DH 216 A_2.jpg:0002-0690;751626.00;6349609.00;482626.00;108330.00;6336364.00;465035.00;25874.00;34965.00;0.81;1345.00;0.74;0.96;1996.00
DH 216 A_2.jpg:0003-0691;329111.00;6373162.00;482706.00;83225.00;6367133.00;467832.00;12587.00;31469.00;0.60;2520.00;0.40;0.94;1996.00
DH 216 A_2.jpg:0004-0695;104651.00;6385387.00;486272.00;62557.00;6382517.00;472028.00;6294.00;28671.00;0.34;5670.00;0.18;0.85;1996.00
DH 216 A_2.jpg:0005-0696;68952.00;6393739.00;486989.00;48231.00;6391608.00;475524.00;4196.00;22378.00;0.37;5541.00;0.18;0.90;1996.00
DH 216 A_2.jpg:0001-0169;484620.00;6362452.00;117615.00;87111.00;6348951.00;106294.00;25874.00;23776.00;0.80;1193.00;0.84;0.94;1996.00
DH 216 A_2.jpg:0003-0170;315419.00;6387154.00;119462.00;68321.00;6377622.00;109091.00;18182.00;20280.00;0.85;1126.00;0.89;0.96;1996.00
DH 216 A_2.jpg:0004-0173;325199.00;6407633.00;120604.00;70468.00;6399301.00;110490.00;17483.00;21678.00;0.82;1300.00;0.77;0.96;1996.00
DH 216 A_2.jpg:0005-0175;222994.00;6427253.00;123180.00;56313.00;6420280.00;113287.00;13986.00;18881.00;0.88;1384.00;0.72;0.96;1996.00
DH 216 A_2.jpg:0006-0180;119810.00;6442530.00;125955.00;47172.00;6438462.00;116084.00;7692.00;19580.00;0.68;2638.00;0.38;0.92;1996.00
DH 216 A_2.jpg:0007-0182;24940.00;6451714.00;127444.00;25105.00;6450350.00;121678.00;2797.00;11189.00;0.50;4312.00;0.23;0.90;1996.00
DH 216 A_2.jpg:0008-0204;454301.00;6354095.00;143192.00;83974.00;6340559.00;132168.00;27273.00;20979.00;0.81;1405.00;0.71;0.95;1996.00
DH 216 A_2.jpg:0009-0208;440608.00;6385213.00;145976.00;82816.00;6372028.00;135664.00;27273.00;20280.00;0.81;1496.00;0.67;0.94;1996.00
DH 216 A_2.jpg:0010-0210;199032.00;6411234.00;147251.00;53515.00;6403497.00;138462.00;14685.00;16783.00;0.87;1113.00;0.90;0.94;1996.00
DH 216 A_2.jpg:0011-0214;169201.00;6428778.00;149297.00;50139.00;6422378.00;141958.00;12587.00;16084.00;0.85;1237.00;0.81;0.95;1996.00
DH 216 A_2.jpg:0012-0218;77265.00;6444091.00;152301.00;35404.00;6440559.00;146154.00;7692.00;12587.00;0.78;1753.00;0.57;0.92;1996.00
DH 216 A_2.jpg:0001-0749;713482.00;6306843.00;523394.00;100758.00;6292308.00;509091.00;27972.00;29371.00;0.88;1039.00;0.96;0.97;1996.00
DH 216 A_2.jpg:0002-0749;271896.00;6331209.00;522921.00;68900.00;6325175.00;510490.00;12587.00;26573.00;0.72;2319.00;0.43;0.94;1996.00
DH 216 A_2.jpg:0003-0750;272874.00;6361427.00;524240.00;75243.00;6355245.00;510490.00;11888.00;27972.00;0.61;2403.00;0.42;0.93;1996.00
DH 216 A_2.jpg:0004-0749;236197.00;6346195.00;524837.00;65114.00;6340559.00;511189.00;11189.00;25874.00;0.70;2499.00;0.40;0.94;1996.00
DH 216 A_2.jpg:0005-0751;185339.00;6375732.00;525772.00;63306.00;6370629.00;512587.00;9790.00;25175.00;0.58;2970.00;0.34;0.91;1996.00
DH 216 A_2.jpg:0006-0750;112964.00;6388083.00;524217.00;53346.00;6384615.00;512587.00;6993.00;23776.00;0.50;3961.00;0.25;0.90;1996.00
DH 216 A_2.jpg:0001-0864;528143.00;6308618.00;604334.00;88410.00;6297902.00;590210.00;21678.00;27972.00;0.85;1321.00;0.76;0.97;1996.00
DH 216 A_2.jpg:0002-0866;329111.00;6330591.00;606098.00;71627.00;6323077.00;593007.00;15385.00;25874.00;0.81;1663.00;0.60;0.95;1996.00
DH 216 A_2.jpg:0003-0868;176537.00;6347212.00;607742.00;56722.00;6342657.00;595804.00;9091.00;23077.00;0.69;2475.00;0.40;0.95;1996.00
DH 216 A_2.jpg:0004-0870;128613.00;6360745.00;607667.00;50139.00;6356643.00;597902.00;8392.00;20979.00;0.64;2610.00;0.38;0.91;1996.00
DH 216 A_2.jpg:0005-0870;39122.00;6370734.00;608086.00;38441.00;6369231.00;600000.00;3497.00;17483.00;0.33;5931.00;0.17;0.84;1996.00
DH 216 A_2.jpg:0006-0875;45968.00;6377660.00;612431.00;42397.00;6375524.00;602797.00;4196.00;18881.00;0.32;6395.00;0.16;0.77;1996.00
DH 216 A_2.jpg:0001-0059;537924.00;6367547.00;42360.00;90148.00;6355245.00;27972.00;24476.00;27273.00;0.83;1085.00;0.92;0.95;1996.00
DH 216 A_2.jpg:0002-0062;585848.00;6396651.00;43241.00;94174.00;6383916.00;30070.00;26573.00;26573.00;0.83;1067.00;0.94;0.95;1996.00
DH 216 A_2.jpg:0003-0064;359920.00;6424084.00;45006.00;78790.00;6414685.00;32867.00;19580.00;23776.00;0.73;1255.00;0.80;0.94;1996.00
DH 216 A_2.jpg:0004-0065;231307.00;6445239.00;46270.00;61497.00;6438462.00;34965.00;13287.00;21678.00;0.77;1685.00;0.59;0.94;1996.00
DH 216 A_2.jpg:0005-0069;131547.00;6461506.00;48812.00;47991.00;6457343.00;39161.00;8392.00;18881.00;0.72;2403.00;0.42;0.94;1996.00
DH 216 A_2.jpg:0001-0363;600518.00;6342043.00;254322.00;97480.00;6327972.00;240559.00;27273.00;27273.00;0.79;1135.00;0.88;0.95;1996.00
DH 216 A_2.jpg:0003-0366;347694.00;6367880.00;256818.00;73096.00;6359441.00;244056.00;16783.00;24476.00;0.82;1489.00;0.67;0.96;1996.00
DH 216 A_2.jpg:0004-0371;262116.00;6407681.00;259009.00;65523.00;6401399.00;247552.00;13287.00;23776.00;0.77;1861.00;0.54;0.95;1996.00
DH 216 A_2.jpg:0005-0372;291946.00;6387848.00;260321.00;67671.00;6381119.00;248252.00;14685.00;23776.00;0.80;1575.00;0.64;0.95;1996.00
DH 216 A_2.jpg:0006-0376;144261.00;6424384.00;262557.00;53106.00;6419580.00;253147.00;10490.00;19580.00;0.64;2244.00;0.45;0.89;1996.00
DH 216 A_2.jpg:0007-0405;614700.00;6337151.00;283931.00;97311.00;6321678.00;269930.00;30070.00;26573.00;0.82;1304.00;0.77;0.95;1996.00
DH 216 A_2.jpg:0008-0409;551127.00;6368421.00;286914.00;90967.00;6355944.00;273427.00;26573.00;25874.00;0.84;1231.00;0.81;0.95;1996.00
DH 216 A_2.jpg:0009-0413;295369.00;6393534.00;288053.00;66512.00;6385315.00;277622.00;15385.00;22378.00;0.84;1488.00;0.67;0.96;1996.00
DH 216 A_2.jpg:0010-0415;138882.00;6409746.00;290503.00;48571.00;6405594.00;281119.00;8392.00;18881.00;0.74;2243.00;0.45;0.96;1996.00
DH 216 A_2.jpg:0011-0415;52325.00;6421342.00;289965.00;38031.00;6419580.00;281818.00;4196.00;16783.00;0.46;4617.00;0.22;0.87;1996.00
DH 216 A_2.jpg:0001-0242;515918.00;6342281.00;169485.00;89399.00;6330769.00;155944.00;23776.00;26573.00;0.81;1059.00;0.94;0.94;1996.00
DH 216 A_2.jpg:0002-0248;520319.00;6369574.00;173872.00;89569.00;6358741.00;159441.00;22378.00;27972.00;0.82;1348.00;0.74;0.95;1996.00
DH 216 A_2.jpg:0003-0251;396596.00;6417176.00;175564.00;77221.00;6407692.00;162937.00;18881.00;25874.00;0.84;1438.00;0.70;0.95;1996.00
DH 216 A_2.jpg:0004-0252;435229.00;6394354.00;176511.00;82816.00;6383916.00;163636.00;20979.00;25175.00;0.80;1367.00;0.73;0.95;1996.00
DH 216 A_2.jpg:0005-0257;99271.00;6434478.00;179236.00;44784.00;6430769.00;170629.00;7692.00;18182.00;0.62;2912.00;0.34;0.91;1996.00
DH 216 A_2.jpg:0006-0261;20050.00;6444184.00;183413.00;29470.00;6442657.00;176224.00;2797.00;13287.00;0.29;6094.00;0.16;0.80;1996.00
DH 216 A_2.jpg:0001-1408;501247.00;6469680.00;984294.00;89978.00;6455245.00;974126.00;28671.00;20979.00;0.78;1466.00;0.68;0.94;1997.00
DH 216 A_2.jpg:0003-1415;398552.00;6498750.00;989047.00;78041.00;6488112.00;979021.00;21678.00;20979.00;0.82;1020.00;0.98;0.95;1997.00
DH 216 A_2.jpg:0004-1416;366277.00;6521670.00;990421.00;74114.00;6511189.00;979021.00;22378.00;23077.00;0.84;1291.00;0.77;0.94;1997.00
DH 216 A_2.jpg:0005-1423;437674.00;6549412.00;995317.00;84384.00;6534266.00;985315.00;28671.00;19580.00;0.77;1547.00;0.65;0.95;1997.00
DH 216 A_2.jpg:0006-1426;319331.00;6576018.00;997647.00;70228.00;6565734.00;988112.00;20979.00;18881.00;0.81;1123.00;0.89;0.94;1997.00
DH 216 A_2.jpg:0007-1429;288034.00;6598962.00;999283.00;68999.00;6589510.00;990210.00;19580.00;18881.00;0.76;1121.00;0.89;0.93;1997.00
DH 216 A_2.jpg:0008-1430;285100.00;6640828.00;1000339.00;66032.00;6631469.00;990909.00;20280.00;18182.00;0.82;1265.00;0.79;0.94;1997.00
DH 216 A_2.jpg:0009-1430;222016.00;6620779.00;999162.00;58700.00;6611888.00;991608.00;16783.00;16783.00;0.81;1272.00;0.79;0.94;1997.00
DH 216 A_2.jpg:0010-1432;333513.00;6666658.00;1001579.00;70568.00;6655944.00;991608.00;22378.00;19580.00;0.84;1228.00;0.82;0.93;1997.00
DH 216 A_2.jpg:0011-1434;234730.00;6691812.00;1002858.00;58630.00;6682517.00;994406.00;18881.00;16783.00;0.86;1164.00;0.86;0.93;1997.00
DH 216 A_2.jpg:0013-1437;109541.00;6709825.00;1005454.00;39600.00;6705594.00;997902.00;9091.00;13986.00;0.88;1567.00;0.64;0.96;1997.00
DH 216 A_2.jpg:0014-1443;450389.00;6478196.00;1009352.00;86192.00;6464336.00;999301.00;27972.00;19580.00;0.76;1485.00;0.67;0.93;1997.00
DH 216 A_2.jpg:0015-1438;22984.00;6720079.00;1006346.00;24455.00;6718182.00;1000699.00;4196.00;10490.00;0.48;4073.00;0.25;0.82;1997.00
DH 216 A_2.jpg:0016-1448;553572.00;6511241.00;1013331.00;94683.00;6495105.00;1002098.00;32168.00;21678.00;0.78;1645.00;0.61;0.95;1997.00
DH 216 A_2.jpg:0017-1456;564820.00;6548339.00;1018263.00;100038.00;6531469.00;1007692.00;33566.00;21678.00;0.71;1808.00;0.55;0.92;1997.00
DH 216 A_2.jpg:0018-1461;392684.00;6581133.00;1021630.00;78550.00;6568531.00;1011888.00;25175.00;20280.00;0.80;1368.00;0.73;0.95;1997.00
DH 216 A_2.jpg:0019-1462;474840.00;6612002.00;1023106.00;87690.00;6596503.00;1011888.00;30070.00;20979.00;0.78;1479.00;0.68;0.93;1997.00
DH 216 A_2.jpg:0020-1466;477285.00;6646413.00;1025145.00;88509.00;6631469.00;1013986.00;27972.00;22378.00;0.77;1464.00;0.68;0.92;1997.00
DH 216 A_2.jpg:0021-1467;344271.00;6675159.00;1026516.00;72276.00;6664336.00;1016084.00;20979.00;20280.00;0.83;1195.00;0.84;0.94;1997.00
DH 216 A_2.jpg:0022-1470;288034.00;6697809.00;1028133.00;64464.00;6689510.00;1017483.00;16783.00;20979.00;0.87;1318.00;0.76;0.95;1997.00
DH 216 A_2.jpg:0023-1471;130080.00;6714012.00;1028256.00;45773.00;6709091.00;1020280.00;9091.00;17483.00;0.78;2020.00;0.50;0.95;1997.00
DH 216 A_2.jpg:0024-1473;68463.00;6724695.00;1030140.00;38031.00;6722378.00;1021678.00;4895.00;16783.00;0.60;3466.00;0.29;0.94;1997.00
DH 216 A_2.jpg:0025-1484;794171.00;6484000.00;1037793.00;115013.00;6467832.00;1022378.00;32867.00;30769.00;0.75;1262.00;0.79;0.95;1997.00
DH 216 A_2.jpg:0026-1489;663602.00;6517050.00;1040681.00;100927.00;6502098.00;1027273.00;29371.00;27972.00;0.82;1240.00;0.81;0.95;1997.00
DH 216 A_2.jpg:0028-1493;451367.00;6545774.00;1045337.00;90727.00;6534266.00;1031469.00;23776.00;25874.00;0.69;1390.00;0.72;0.92;1997.00
DH 216 A_2.jpg:0029-1498;440119.00;6569838.00;1046912.00;81177.00;6559441.00;1033566.00;19580.00;27972.00;0.84;1452.00;0.69;0.96;1997.00
DH 216 A_2.jpg:0030-1500;493423.00;6593459.00;1049817.00;84214.00;6582517.00;1036364.00;22378.00;25874.00;0.87;1219.00;0.82;0.97;1997.00
DH 216 A_2.jpg:0031-1502;405888.00;6617510.00;1050759.00;77391.00;6607692.00;1038462.00;19580.00;24476.00;0.85;1296.00;0.77;0.96;1997.00
DH 216 A_2.jpg:0032-1503;385838.00;6639890.00;1051356.00;75003.00;6630070.00;1039161.00;19580.00;24476.00;0.86;1295.00;0.77;0.95;1997.00
DH 216 A_2.jpg:0033-1505;463592.00;6665769.00;1053123.00;81996.00;6653846.00;1040559.00;23776.00;23776.00;0.87;1038.00;0.96;0.96;1997.00
DH 216 A_2.jpg:0034-1506;310529.00;6690789.00;1053988.00;66272.00;6682517.00;1042657.00;16783.00;21678.00;0.89;1236.00;0.81;0.96;1997.00
DH 216 A_2.jpg:0035-1507;156487.00;6709266.00;1053794.00;48740.00;6704196.00;1044755.00;10490.00;18182.00;0.83;1750.00;0.57;0.94;1997.00
DH 216 A_2.jpg:0036-1507;55748.00;6721372.00;1053957.00;31448.00;6718881.00;1047552.00;4895.00;13287.00;0.71;2547.00;0.39;0.94;1997.00
DH 216 A_2.jpg:0037-1508;76776.00;6731760.00;1054926.00;36223.00;6728671.00;1047552.00;6294.00;14685.00;0.74;2329.00;0.43;0.93;1997.00
DH 216 A_2.jpg:0002-1184;772165.00;6465465.00;828586.00;111226.00;6450350.00;812587.00;31469.00;30769.00;0.78;1192.00;0.84;0.94;1997.00
DH 216 A_2.jpg:0003-1183;552105.00;6436268.00;827283.00;90388.00;6424476.00;813287.00;23776.00;27972.00;0.85;1309.00;0.76;0.96;1997.00
DH 216 A_2.jpg:0004-1192;670448.00;6499558.00;833680.00;103484.00;6484615.00;820280.00;30070.00;27273.00;0.79;1261.00;0.79;0.93;1997.00
DH 216 A_2.jpg:0005-1197;632305.00;6533209.00;837183.00;97551.00;6518182.00;824476.00;30769.00;25175.00;0.84;1414.00;0.71;0.96;1997.00
DH 216 A_2.jpg:0009-1202;440119.00;6563981.00;840591.00;80937.00;6552448.00;827972.00;22378.00;25874.00;0.84;1168.00;0.86;0.95;1997.00
DH 216 A_2.jpg:0010-1204;355030.00;6587917.00;842750.00;72276.00;6578322.00;831469.00;19580.00;21678.00;0.85;1218.00;0.82;0.95;1997.00
DH 216 A_2.jpg:0011-1207;371167.00;6613423.00;844700.00;74254.00;6602797.00;833566.00;21678.00;20979.00;0.85;1101.00;0.91;0.94;1997.00
DH 216 A_2.jpg:0012-1210;322754.00;6637146.00;846702.00;69988.00;6627972.00;834965.00;18881.00;22378.00;0.83;1383.00;0.72;0.94;1997.00
DH 216 A_2.jpg:0013-1211;215658.00;6656820.00;847027.00;58290.00;6649650.00;837063.00;14685.00;19580.00;0.80;1645.00;0.61;0.94;1997.00
DH 216 A_2.jpg:0015-1212;173603.00;6673433.00;847644.00;54504.00;6667133.00;837762.00;12587.00;19580.00;0.73;2068.00;0.48;0.92;1997.00
DH 216 A_2.jpg:0016-1214;95359.00;6687221.00;849663.00;42976.00;6683217.00;840559.00;7692.00;17483.00;0.65;2854.00;0.35;0.91;1997.00
DH 216 A_2.jpg:0017-1223;463103.00;6444184.00;856639.00;92945.00;6431469.00;843357.00;25874.00;23776.00;0.67;1204.00;0.83;0.92;1997.00
DH 216 A_2.jpg:0019-1227;523742.00;6474264.00;858014.00;98300.00;6459441.00;846154.00;28671.00;24476.00;0.68;1495.00;0.67;0.91;1997.00
DH 216 A_2.jpg:0020-1231;378503.00;6502639.00;861256.00;81587.00;6490210.00;850350.00;23776.00;20979.00;0.72;1324.00;0.76;0.90;1997.00
